"X.","Game","Release.date","Price","Score.rank.Userscore...Metascore.","Owners","Playtime..Median.","Developer.s.","Publisher.s."
259,"Playing History - The Plague","Nov 14, 2012","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Serious Games Interactive","Serious Games Interactive"
263,"The Revenge of Shinobi","May 2, 2012","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","","SEGA"
265,"Miner Warfare","Apr 6, 2012","$2.99","55% (82%)","0 .. 20,000","00:00 (00:00)","Heartbit Interactive","Heartbit Interactive"
269,"Miner Wars Arena","Aug 28, 2012","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Keen Software House","Keen Software House"
272,"Sleeping Dogs: Ghost Pig","Nov 2, 2012","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","United Front Games","Square Enix"
281,"Colour Bind","Sep 24, 2012","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Finn Morgan","Puppy Punch Productions"
287,"East Tower - Akio","Jul 25, 2012","$4.99","47% (78%)","0 .. 20,000","00:00 (00:00)","roseVeRte","roseVeRte"
290,"Disney Mickey's Typing Adventure","Dec 10, 2012","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Individual Software Inc.","Disney Interactive"
294,"Choice of Kung Fu","Dec 19, 2012","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Choice of Games","Choice of Games"
297,"East Tower - Takashi","Nov 27, 2012","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","roseVeRte","roseVeRte"
298,"Damage Inc. Pacific Squadron WWII","Aug 28, 2012","$39.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Trickstar Games","Mad Catz"
300,"Golden Axe III","May 2, 2012","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","","SEGA"
301,"Test Drive: Ferrari Racing Legends","Dec 10, 2012","$19.99","15% (55%)","0 .. 20,000","00:00 (00:00)","Slightly Mad Studios","Evolved Games"
304,"Close Combat - Panthers in the Fog","Nov 19, 2012","$39.99","21% (61%)","0 .. 20,000","00:00 (00:00)","Matrix Games","Slitherine Ltd."
306,"Dynamite Headdy","May 2, 2012","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","","SEGA"
313,"Ballads of Reemus: When the Bed Bites","Jan 27, 2012","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","ClickShake Games LLC","ClickShake Games LLC"
316,"Hidden Mysteries: Titanic","Jan 1, 2012","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Gunnar Games","GameMill Entertainment"
323,"Luxor: Amun Rising HD","Sep 3, 2012","$9.99","N/A (N/A)","0 .. 20,000","00:01 (00:00)","MumboJumbo","MumboJumbo"
326,"Phantasy Star IV: The End of the Millennium","May 2, 2012","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","","SEGA"
332,"Space Ark","Mar 16, 2012","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Strawdog Studios Ltd","Bounce Entertainment"
334,"ToeJam & Earl in Panic on Funkotron","Mar 14, 2012","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","SEGA","SEGA"
339,"Wonder Boy in Monster World","May 2, 2012","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","","SEGA"
343,"Venusian Vengeance","Oct 25, 2012","$3.99","N/A (N/A)","0 .. 20,000","01:18 (00:26)","Renegade Sector Games","Renegade Sector Games"
348,"Atooms to Moolecules Demo","Apr 6, 2012","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","BitSits Games","BitSits Games"
356,"SEAL Team 12","Apr 26, 2012","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Social Loner Studios","Social Loner Studios"
358,"Beyond Oasis","May 2, 2012","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","","SEGA"
363,"Nancy Drew: Tomb of the Lost Queen","May 16, 2012","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","HeR Interactive","HeR Interactive"
365,"Hubert's Island Adventure: Mouse o' War","Jan 27, 2012","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Cheese and Bacon Games","Cheese and Bacon Games"
367,"Phantasy Star III: Generations of Doom","May 2, 2012","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","","SEGA"
381,"Rotastic","Oct 11, 2012","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Dancing Dots","Focus Home Interactive"
383,"Nancy Drew: The Deadly Device","Oct 23, 2012","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","HeR Interactive, Inc.","HeR Interactive"
